,Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,full_address,gcode,lat,long
271307,90190,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2002-06-25,Parts per billion,19.375,32.0,7,30,Parts per million,0.049208,0.081,11,114,Parts per billion,0.128571,0.6,11,,Parts per million,0.340909,0.7,7,,"1415 Hinton Street, Dallas, Texas","Hinton Street, Grand Prairie, Dallas County, Texas, 75050, United States",32.7503043,-97.0093137
299387,24728,6,71,306,"14306 PARK AVE., VICTORVILLE, CA",California,San Bernardino,Victorville,2003-12-14,Parts per billion,14.590909,30.0,1,28,Parts per million,0.021375,0.033,11,28,Parts per billion,1.742857,2.3,5,,Parts per million,0.572727,0.8,0,,"14306 PARK AVE., VICTORVILLE, CA, Victorville, California","14306, Park Avenue, Victorville, San Bernardino County, California, 92392, United States",34.510210341168275,-117.32497984813881
930442,66210,33,11,20,PEARL ST,New Hampshire,Hillsborough,Manchester,2009-05-25,Parts per billion,2.995652,7.5,4,7,Parts per million,0.03725,0.044,13,37,Parts per billion,0.128571,0.9,23,,Parts per million,0.4875,0.7,0,8.0,"PEARL ST, Manchester, New Hampshire","Pearl Street, Manchester, Hillsborough County, New Hampshire, 03104, United States",42.9958587,-71.4612226
513246,70025,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,2005-09-27,Parts per billion,13.583333,35.0,19,33,Parts per million,0.017792,0.038,9,32,Parts per billion,3.791667,8.0,19,11.0,Parts per million,0.054167,0.3,20,,"ROCKVIEW LANE, Bristol, Pennsylvania","Rockview Drive, Rockdale, Bristol Township, Bucks County, Pennsylvania, 19007, United States",40.111272,-74.8789529
1109449,37067,6,73,3,"1155 REDWOOD AVE., EL CAJON",California,San Diego,El Cajon,2011-09-15,Parts per billion,6.238095,12.0,9,11,Parts per million,0.034333,0.043,11,36,Parts per billion,0.031818,0.1,9,0.0,Parts per million,0.258333,0.3,0,3.0,"1155 REDWOOD AVE., EL CAJON, El Cajon, California","1155, Redwood Avenue, El Cajon, San Diego County, California, 92019, United States",32.790225,-116.943492
675021,45716,8,31,2,2105 BROADWAY,Colorado,Denver,Denver,2007-06-30,Parts per billion,26.521739,40.0,17,38,Parts per million,0.034708,0.053,11,45,Parts per billion,3.26087,11.0,7,16.0,Parts per million,0.454167,0.6,0,7.0,"2105 BROADWAY, Denver, Colorado","2105, Broadway, Five Points, Denver, Denver County, Colorado, 80205, United States",39.75173649168344,-104.9874937338656
1679955,83954,34,7,2,266 Spruce Street,New Jersey,Camden,Camden,2015-04-21,Parts per billion,16.708333,35.0,21,33,Parts per million,0.028,0.036,10,33,Parts per billion,0.041667,1.0,16,1.0,Parts per million,0.15,0.2,9,,"266 Spruce Street, Camden, New Jersey","266, Spruce Street, Central Waterfront, Whitman Park, Camden, Camden County, New Jersey, 08103, United States",39.93460760862162,-75.12508663773961
705820,76515,36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,2007-05-23,Parts per billion,7.666667,28.0,5,26,Parts per million,0.042583,0.053,16,45,Parts per billion,2.15,3.3,5,,Parts per million,0.133333,0.2,5,2.0,"57 DIVISION STREET, Holtsville, New York","57, Division Street, Suffolk County, New York, 11742, United States",40.8272636,-73.0568083
1288225,86595,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,2012-09-27,Parts per billion,14.458333,36.0,21,34,Parts per million,0.0245,0.06,10,51,Parts per billion,0.2625,1.7,10,1.0,Parts per million,0.225,0.4,23,5.0,"1130 EASTWAY DRIVE, Charlotte, North Carolina","1130, Eastway Drive, Citiside, Plaza Shamrock, Charlotte, Mecklenburg County, North Carolina, 28205, United States",35.24085644277964,-80.77892344999584
1487620,23208,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,2014-01-23,Parts per billion,46.313043,66.4,18,64,Parts per million,0.007958,0.021,9,19,Parts per billion,0.713043,1.7,9,1.0,Parts per million,0.969565,1.9,9,,"228 W. PALM AVE., BURBANK, Burbank, California","228, West Palm Avenue, Burbank, Los Angeles County, California, 91502, United States",34.176488906724394,-118.316591119713
